Rank,Player Name,Club,Position,Minutes Played,Matches Played,Goals,Assists,Distance Covered (km),Top Speed (km/h)
396,Gvardiol,Man City,Defender,440,5,0,2,52.5,32.8
398,Auklend,Bodø/Glimt,Midfielder,439,10,0,0,65.6,31.8
398,Douděra,Slavia Praha,Defender,439,7,0,1,53.7,34.2
400,Fernández,Leverkusen,Midfielder,438,9,0,0,62.7,31.4
401,Mayulu,Paris,Midfielder,435,9,2,0,51.4,33.2
402,Jones,Liverpool,Midfielder,434,9,0,0,57.6,33.6
403,Matheus Nunes,Man City,Midfielder,433,6,0,0,51.7,34.8
404,Regeer,Ajax,Midfielder,432,8,0,0,55.6,32.5
405,Dani García,Olympiacos,Midfielder,431,8,0,0,55.3,27.9
244,Van De Perre,,,,,,,,
