Rank,Player Name,Club,Position,Minutes Played,Matches Played,Goals,Assists,Distance Covered (km),Top Speed (km/h)
89,Ekitiké,Liverpool,Forward,838,12,3,1,105.3,34.9
90,Upamecano,Bayern München,Defender,836,10,0,2,87.5,33.8
91,Akliouche,Monaco,Midfielder,834,10,1,3,103,31.6
92,Jafarguliyev,Qarabağ,Defender,820,10,2,1,94.8,35.1
93,Balogun,Monaco,Forward,813,10,5,0,91.8,33.9
94,Kossounou,Atalanta,Defender,812,10,0,0,98.1,33.3
95,Pavlidis,Benfica,Forward,811,10,2,2,107,31.8
95,Tapsoba,Leverkusen,Defender,811,10,0,0,90.3,33.6
97,Saliba,Arsenal,Defender,810,9,0,0,89.3,32.1
97,Tzolakis,Olympiacos,Goalkeeper,810,9,0,0,53.8,25.8
97,Neuer,Bayern München,Goalkeeper,810,9,0,0,47.6,25.9
97,Donnarumma,Man City,Goalkeeper,810,9,0,0,45.8,27.9
101,Barnes,Newcastle,Forward,809,12,6,3,94.3,33.8
102,Retsos,Olympiacos,Defender,806,9,0,0,95.3,32.2
103,Dedić,Benfica,Defender,805,10,0,0,93.3,34
104,Joan García,Barcelona,Goalkeeper,802,9,0,0,58.6,26.6
105,Fermín López,Barcelona,Forward,800,11,6,4,95.4,32.5
105,Luis Díaz,Bayern München,Forward,800,10,6,3,92,33.8
107,Carreras,Real Madrid,Defender,797,9,0,0,89.3,33.4
108,Gerard Martín,Barcelona,Defender,791,12,0,1,88.7,33.1
109,Maza,Leverkusen,Midfielder,789,12,0,2,107.3,31.4
109,Dahl,Benfica,Defender,789,9,1,0,95.1,32
111,Lookman,Atleti,Forward,783,13,3,4,80.9,33.7
112,Eric García,Barcelona,Defender,778,11,0,0,91.2,34.3
113,Bensebaini,B. Dortmund,Defender,773,9,2,0,78,32.5
114,Pedro Porro,Tottenham,Defender,772,9,1,2,90.8,34.2
115,Gordon,Newcastle,Forward,771,12,10,2,89.2,36.4
115,Catamo,Sporting CP,Forward,771,11,1,2,92.9,34.7
115,Huijsen,Real Madrid,Defender,771,9,0,0,87.6,33.4
118,Rice,Arsenal,Midfielder,770,10,1,2,95.2,32
119,Poku,Leverkusen,Forward,769,12,0,1,90.1,35
120,Koke,Atleti,Midfielder,768,14,0,0,108.9,28.9
120,Kenan Yıldız,Juventus,Forward,768,10,1,3,76.5,31.6
120,Kelly,Juventus,Defender,768,9,1,1,82.5,34.3
123,Caio Henrique,Monaco,Defender,765,9,0,0,95,33.5
124,Haaland,Man City,Forward,756,10,8,0,85.4,35.7
125,Duran,Qarabağ,Forward,754,10,5,2,81.8,33.6
126,Nmecha,B. Dortmund,Midfielder,753,10,3,0,85.8,34.2
127,Fernández,Chelsea,Midfielder,747,10,3,2,96.4,31.8
127,Zappacosta,Atalanta,Defender,747,10,1,0,94.6,33.4
127,Anton,B. Dortmund,Defender,747,9,1,0,89.3,32.2
130,Koopmeiners,Juventus,Midfielder,745,10,2,1,84.3,32.5
131,Cubarsí,Barcelona,Defender,744,10,0,0,86.2,31.9
132,Andrich,Leverkusen,Midfielder,742,9,1,1,85.4,32.3
132,Mustafazade,Qarabağ,Defender,742,9,1,0,80.2,36.5
134,Gabriel Sara,Galatasaray,Midfielder,737,12,1,1,91.9,31
135,Pirola,Olympiacos,Defender,735,10,0,0,82.2,32.8
136,Janković,Qarabağ,Midfielder,730,9,1,3,88.5,31.6
136,Lemina,Galatasaray,Midfielder,730,9,1,1,78,34.6
138,Éderson,Atalanta,Midfielder,724,9,1,0,95.9,33.8
139,El Kaabi,Olympiacos,Forward,723,10,2,1,83.1,33
139,Sané,Galatasaray,Midfielder,723,10,0,2,77.4,34.1
139,Gelson Martins,Olympiacos,Forward,723,9,3,0,90.8,33.3
139,Tzolis,Club Brugge,Forward,723,9,2,1,92.3,32.4
143,Cucurella,Chelsea,Defender,722,9,0,0,88.5,32.8
144,Van de Ven,Tottenham,Defender,720,8,2,0,78.3,35.1
144,Renato Veiga,Villarreal,Defender,720,8,1,0,87.2,32.6
144,Luckassen,Pafos,Defender,720,8,1,0,78.9,33.4
144,Veerman,PSV,Midfielder,720,8,0,1,96.1,29.7
144,Pope,Newcastle,Goalkeeper,720,8,0,1,47.4,26.9
144,Burgess,Union SG,Defender,720,8,0,0,85.3,29.6
144,Theate,Frankfurt,Defender,720,8,0,0,82.2,32.3
144,Sorokin,Kairat Almaty,Defender,720,8,0,0,81.7,32.8
144,Kotarski,Copenhagen,Goalkeeper,720,8,0,0,48.4,28.5
144,Unai Simón,Athletic Club,Goalkeeper,720,8,0,0,46.2,26.4
144,Köhn,Monaco,Goalkeeper,720,8,0,0,43.4,26.5
144,Rulli,Marseille,Goalkeeper,720,8,0,0,42.8,36.2
144,Safonov,Paris,Goalkeeper,720,8,0,0,42.4,29.2
144,Kovář,PSV,Goalkeeper,720,8,0,0,40.6,23.8
144,Scherpen,Union SG,Goalkeeper,720,8,0,0,37,24
159,Laimer,Bayern München,Midfielder,719,9,0,3,75.4,33.9
160,Griezmann,Atleti,Forward,715,13,2,5,89.3,34.7
160,Dimarco,Inter,Defender,715,9,1,0,83.9,32.3
162,Svensson,B. Dortmund,Defender,711,9,2,0,91.4,31.8
162,Mrynskiy,Kairat Almaty,Defender,711,8,0,1,91.3,34.5
164,Guirassy,B. Dortmund,Forward,710,10,4,3,79.6,32.5
164,Hien,Atalanta,Defender,710,9,0,0,80.1,33.6
164,Koch,Frankfurt,Defender,710,8,0,0,82.5,33.1
167,Akanji,Inter,Defender,708,10,0,0,80.7,34
168,Spence,Tottenham,Defender,707,10,0,0,78.5,35.9
169,Le Normand,Atleti,Defender,704,12,2,0,81.3,31.6
170,Khalaili,Union SG,Forward,703,8,3,0,81.5,34.2
171,Djimsiti,Atalanta,Defender,702,10,0,0,84.2,30.6
171,Gabriel,Arsenal,Defender,702,9,1,1,77.4,32.1
171,Gabriel Pereira,Copenhagen,Defender,702,8,0,0,80.1,33.7
174,Gyökeres,Arsenal,Forward,701,10,4,2,85.1,34.1
175,Seys,Club Brugge,Midfielder,700,9,0,2,85.9,33.9
175,Provod,Slavia Praha,Midfielder,700,8,0,2,89.3,33.3
177,Hezze,Olympiacos,Midfielder,699,9,1,1,88.8,29.8
177,McTominay,Napoli,Forward,699,8,4,1,95.7,31.9
179,Mac Allister,Union SG,Defender,697,8,1,0,82.1,29.9
179,Pêpê,Pafos,Midfielder,697,8,0,0,88.5,31.4
181,Pedri,Barcelona,Midfielder,695,9,0,2,90.8,33.1
182,Romero,Tottenham,Defender,694,8,1,3,72.6,31.8
183,Bastoni,Inter,Defender,691,9,1,1,81.8,33.7
184,Zima,Slavia Praha,Defender,690,8,0,0,86,32.8
185,Kehrer,Monaco,Defender,689,9,0,1,75.8,31.7
186,Salah,Liverpool,Forward,688,10,3,3,80.9,34.6
187,Baas,Ajax,Defender,685,8,0,0,80.3,33.2
188,Brown,Frankfurt,Defender,682,8,0,2,79.8,33.9
189,Barrios,Atleti,Midfielder,681,9,0,1,89.3,33.5
190,Mouzakitis,Olympiacos,Midfielder,679,10,0,0,89.4,31.2
191,Schouten,PSV,Midfielder,675,8,0,0,82.7,31.9
191,Sánchez,Chelsea,Goalkeeper,675,8,0,0,35.8,27.9
193,Teze,Monaco,Defender,674,9,3,0,79.7,32.5
193,Carlos Forbs,Club Brugge,Forward,674,9,2,3,77.8,36.7
195,Zorgane,Union SG,Midfielder,673,8,0,1,87.5,29.3
196,Sabbe,Club Brugge,Defender,672,9,0,0,87.1,32
197,Greenwood,Marseille,Forward,671,8,3,1,72.1,34.3
197,O’Reilly,Man City,Midfielder,671,8,1,2,83.8,35.7
199,Rodinei,Olympiacos,Defender,670,8,0,2,76.8,33
200,Trippier,Newcastle,Defender,668,9,0,3,78.2,32.7
200,Dragomir,Pafos,Midfielder,668,8,1,0,84.9,34.2
202,Molina,Atleti,Defender,663,11,0,1,80.5,34.4
203,Lopez,Copenhagen,Defender,658,8,0,1,79.5,33.6
203,Højbjerg,Marseille,Midfielder,658,8,0,0,78.7,31.3
205,Gundersen,Bodø/Glimt,Defender,657,9,0,0,81.1,31.3
206,Tomás Araújo,Benfica,Defender,656,9,0,0,74.7,33.1
207,Woltemade,Newcastle,Forward,655,10,1,0,79.5,32
207,João Simões,Sporting CP,Midfielder,655,10,0,1,90.1,33
209,Sudakov,Benfica,Midfielder,652,9,0,1,85.5,31.4
210,Eze,Arsenal,Midfielder,650,10,1,2,74.7,31.8
211,Hall,Newcastle,Defender,649,10,0,1,79.5,33.1
212,Locatelli,Juventus,Midfielder,647,9,1,0,71.8,30.4
213,Oršić,Pafos,Forward,646,8,2,2,80.5,34.8
214,Bellingham,B. Dortmund,Forward,645,10,0,1,73.1,31.6
215,P. Sarr,Tottenham,Midfielder,644,9,0,0,82.2,32.4
215,Pubill,Atleti,Defender,644,9,0,0,82,32.5
217,Cambiaso,Juventus,Defender,643,9,0,1,80.5,32.9
218,Blomberg,Bodø/Glimt,Forward,637,10,2,4,77.9,31.4
219,Zieliński,Inter,Midfielder,635,10,1,0,83.1,32.3
220,Barreiro,Benfica,Midfielder,631,9,2,0,87.1,30.1
220,Doku,Man City,Midfielder,631,9,1,3,69,32.1
222,Mauro Júnior,PSV,Defender,630,7,0,2,83.6,32.8
222,Šunjić,Pafos,Midfielder,630,7,0,1,79.3,30.3
222,Paredes,Athletic Club,Defender,630,7,0,0,75,32.8
222,Rüdiger,Real Madrid,Defender,630,7,0,0,66.7,32.2
222,V. Milinković-Savić,Napoli,Goalkeeper,630,7,0,0,37.7,31.2
227,Alexander-Arnold,Real Madrid,Defender,629,9,0,1,34.5,32.3
228,Lewandowski,Barcelona,Forward,622,11,4,0,69.6,31.9
228,Ríos,Benfica,Midfielder,622,8,1,2,79,32.5
230,Diomande,Sporting CP,Defender,616,9,1,0,62.8,33.6
230,Pedro Neto,Chelsea,Forward,616,8,0,2,69.8,34.9
232,Stanišić,Bayern München,Defender,612,8,1,1,63.3,32.9
233,Pépé,Villarreal,Forward,611,8,0,1,67.5,35.4
234,D. Doué,Paris,Forward,608,10,5,2,79.5,33
234,Badé,Leverkusen,Defender,608,8,0,0,75.6,32
236,Bellingham,Real Madrid,Midfielder,607,9,2,1,74.7,32.6
236,Ryerson,B. Dortmund,Defender,607,9,0,2,76.2,33
238,Saibari,PSV,Midfielder,606,7,3,0,77.6,33.4
239,Pašalić,Atalanta,Midfielder,605,9,3,1,79.8,32.1
239,Comesaña,Villarreal,Midfielder,605,8,1,0,81.4,32.7
241,Kofane,Leverkusen,Forward,601,11,1,1,73.5,35.1
241,Luís Mata,Kairat Almaty,Defender,601,7,0,0,72.6,32.8
243,Sadílek,Slavia Praha,Midfielder,599,8,0,0,80.3,30.5
244,Van De Perre,Union SG,Defender,598,8,0,0,78.7,32.3
244,Buongiorno,Napoli,Defender,598,7,0,0,73.5,31.7
246,Barella,Inter,Midfielder,597,8,0,0,82.9,31.4
247,Knauff,Frankfurt,Midfielder,596,8,2,1,71,34.2
247,Højlund,Napoli,Forward,596,7,3,0,76.5,34.3
249,Kerkez,Liverpool,Defender,594,9,0,0,72.6,34.5
250,Thuram,Juventus,Midfielder,593,9,1,1,65.1,31.8
251,Joelinton,Newcastle,Midfielder,591,10,2,1,71.2,33.1
252,Jorginho,Kairat Almaty,Forward,590,8,1,0,66.6,34.4
253,Aubameyang,Marseille,Forward,589,8,3,5,65.2,35.8
253,Vanderson,Monaco,Defender,589,8,0,0,67.9,33.2
255,Martinelli,Arsenal,Forward,588,11,6,2,70.1,36.4
256,Sørloth,Atleti,Forward,585,13,6,1,72,32.8
257,De Ketelaere,Atalanta,Forward,584,8,2,2,69.5,32.8
257,Godts,Ajax,Forward,584,8,0,1,66.2,33.3
259,Dembélé,Paris,Forward,583,10,4,1,66.4,33.6
259,Til,PSV,Midfielder,583,8,2,3,71.2,35.5
259,Gray,Tottenham,Midfielder,583,8,0,2,78.8,34.4
262,Reijnders,Man City,Midfielder,582,10,0,3,76.5,32.2
263,Rashford,Barcelona,Forward,579,11,5,3,65.5,34
264,Krstović,Atalanta,Forward,578,12,1,1,74.1,32.7
264,Leandro Andrade,Qarabağ,Midfielder,578,9,3,1,70.4,34.5
266,M. Thuram,Inter,Forward,577,9,2,1,65.6,33.5
267,Barrenechea,Benfica,Midfielder,574,9,1,0,81.2,29.8
267,J. Suzuki,Copenhagen,Defender,574,7,0,1,65.7,33.5
267,Mamardashvili,Liverpool,Goalkeeper,574,7,0,0,32.3,26.9
270,Simons,Tottenham,Midfielder,572,10,3,1,72.2,33.8
271,Chalobah,Chelsea,Defender,571,8,0,0,63.9,32.2
272,James,Chelsea,Defender,565,8,0,2,69.3,32.7
272,Bruno,Pafos,Forward,565,7,1,0,65,34.6
274,Chiquinho,Olympiacos,Forward,563,10,1,2,69.5,31.6
275,Gnabry,Bayern München,Forward,562,11,2,4,64.6,32.9
275,Klaassen,Ajax,Midfielder,562,8,0,0,81.7,29.6
277,Di Lorenzo,Napoli,Defender,561,7,0,0,72.1,31
277,Schlotterbeck,B. Dortmund,Defender,561,7,0,0,54.2,33.9
279,Chaloupek,Slavia Praha,Defender,559,8,1,1,65.1,32.4
279,Raúl Asencio,Real Madrid,Defender,559,8,0,1,55.8,34.7
281,Bisseck,Inter,Defender,558,7,0,1,66.4,33.1
281,Hatzidiakos,Copenhagen,Defender,558,7,0,0,64.2,32.3
283,Gasiorowski,PSV,Defender,553,7,0,0,61.8,32.4
284,Bernardo Silva,Man City,Midfielder,552,8,1,0,76,30.5
285,Tresoldi,Club Brugge,Forward,551,10,3,2,69.2,32.7
286,Raphinha,Barcelona,Forward,544,7,3,2,64.8,33.5
287,Botman,Newcastle,Defender,543,8,1,0,65.1,32.1
287,David Luiz,Pafos,Defender,543,7,1,0,55.9,31.2
289,Bruno Guimarães,Newcastle,Midfielder,542,7,0,0,70.8,32
290,Schick,Leverkusen,Forward,540,9,4,1,70.6,39.6
290,J. Larsson,Copenhagen,Forward,540,8,3,0,67.7,33
290,Staněk,Slavia Praha,Goalkeeper,540,6,0,0,38.3,27.2
290,Anarbekov,Kairat Almaty,Goalkeeper,540,6,0,0,35,28.2
290,Blaswich,Leverkusen,Goalkeeper,540,6,0,0,34.1,25.5
290,Jaroš,Ajax,Goalkeeper,540,6,0,0,33.9,24.8
290,Di Gregorio,Juventus,Goalkeeper,540,6,0,0,31.9,24.1
290,Michael,Pafos,Goalkeeper,540,6,0,0,30.9,26.3
290,Flekken,Leverkusen,Goalkeeper,540,6,0,0,27.3,22.4
290,Chevalier,Paris,Goalkeeper,540,6,0,0,24.4,24.6
300,Perišić,PSV,Forward,539,8,1,2,64.1,34
300,Gromyko,Kairat Almaty,Midfielder,539,8,0,1,65.5,30.9
300,Podence,Olympiacos,Forward,539,8,0,0,63.6,30.9
